cancer_type,parameter_name,definition
HCC,ECM_max,"Maximum extracellular matrix concentration in fibrotic pancreatic tumors, represents severe desmoplastic reaction"
HCC,M_PD1_total,"Total PD-1 receptors per macrophage surface, mediates checkpoint inhibition of phagocytic function"
HCC,N_IL2_CD4,Maximum additional CD4+ T cell divisions enabled by IL-2 signaling beyond baseline
HCC,N_IL2_CD8,Maximum additional CD8+ T cell divisions enabled by IL-2 signaling beyond baseline
HCC,TGFbase,"Baseline TGF-β concentration in pancreatic tumor microenvironment, maintained by cancer cells and stromal components"
HCC,T_PD1_total,"Total number of PD-1 checkpoint receptors per T cell surface, determines maximum binding capacity for PD-L1/PD-L2 and anti-PD-1 antibodies"
HCC,T_PDL1_total,"Total number of PD-L1 molecules per activated T cell surface, enables reverse checkpoint signaling and T cell fratricide"
HCC,Ve_T,"Cellular volume fraction of tumor tissue, used as denominator in tumor volume calculation V_T = (cells*vol_cell)/Ve_T"
HCC,chemo_sens_PDL1_base,"Baseline number of PD-L1 checkpoint ligands per chemotherapy-sensitive cancer cell surface, enhanced by IFN-γ (r_PDL1_IFNg fold) for adaptive immune resistance"
HCC,gamma_T_aCTLA4,"Volume fraction of tumor interstitial space accessible to anti-CTLA-4 antibody, determines intratumoral drug penetration for T cell costimulatory blockade"
HCC,gamma_T_aPD1,"Volume fraction of tumor interstitial space accessible to anti-PD-1 antibody, determines intratumoral drug penetration for T cell checkpoint inhibition"
HCC,gamma_T_aPDL1,"Volume fraction of tumor interstitial space accessible to anti-PD-L1 antibody, determines intratumoral drug penetration for cancer cell checkpoint inhibition"
HCC,initial_tumour_diameter,"Initial tumor diameter used to calculate starting cancer cell number from volume, varied in PSA (1.43-3.03 cm)"
HCC,k_ArgI_sec,"Rate of arginase I secretion by MDSCs, depletes L-arginine and suppresses T cell proliferation and function"
HCC,k_CCL2_sec,"Rate of CCL2 (MCP-1) secretion by cancer cells and MDSCs, promotes MDSC recruitment to tumor microenvironment"
HCC,k_IFNg_Thsec,IFNg secretion rate by T helper cell estimated assuming IFNg secretion is 3 times lower in CD4 than CD8 T cells
HCC,k_M1_pol,"Rate of M2 to M1 macrophage polarization driven by IL-12 and IFN-γ, promotes anti-tumor phenotype"
HCC,k_P1_d1,"Dissociation constant for tumor antigen P1-MHC class I binding, determines stability and presentation strength of P1 epitopes to CD8+ T cells"
HCC,k_chemo_sens_growth,"Intrinsic growth rate of chemotherapy-sensitive cancer clone, used in Gompertzian/logistic growth models"
HCC,k_fib_rec,Rate of fibroblast recruitment into tumor microenvironment
HCC,n_CD8_clones,"Number of CD8+ T cell clones recognizing tumor-specific antigens (P1), determines the fraction of CD8+ repertoire available for anti-tumor responses"
HCC,n_Treg_clones,"Number of regulatory T cell clones recognizing self-antigens (P0), determines the fraction of Treg repertoire that can be activated by tissue-specific antigens in lymph nodes"
HCC,q_CD8_T_in,"Rate of activated CD8+ T cell infiltration into tumor tissue, depends on tumor vasculature, chemokine gradients, and cancer cell density for recruitment"
HCC,q_P_aCTLA4,"Capillary filtration rate of anti-CTLA-4 antibody from central to peripheral compartment, determines systemic drug distribution for checkpoint blockade"
HCC,q_P_aPD1,"Capillary filtration rate of anti-PD-1 antibody from central to peripheral compartment, determines systemic drug distribution for checkpoint blockade"
HCC,q_P_aPDL1,"Capillary filtration rate of anti-PD-L1 antibody from central to peripheral compartment, determines systemic drug distribution for checkpoint blockade"
HCC,q_T_aCTLA4,"Capillary filtration rate of anti-CTLA-4 antibody from central to tumor compartment, determines tumor penetration for T cell costimulatory blockade"
HCC,q_T_aPD1,"Capillary filtration rate of anti-PD-1 antibody from central to tumor compartment, determines tumor penetration for T cell checkpoint inhibition"
HCC,q_T_aPDL1,"Capillary filtration rate of anti-PD-L1 antibody from central to tumor compartment, determines tumor penetration for cancer cell checkpoint inhibition"
HCC,q_Treg_T_in,"Rate of activated regulatory T cell infiltration into tumor tissue, depends on tumor vasculature density and adhesion molecule expression"
HCC,r_PDL2APC,"Ratio of PD-L2 to PD-L1 checkpoint ligands on antigen-presenting cells, determines relative contribution of PD-L2 pathway to T cell priming inhibition"
HCC,vol_cell,"Average cancer cell volume calculated from diameter, used in tumor volume equation V_T and initial conditions"
NSCLC,APC_PDL1_base,"Baseline number of PD-L1 checkpoint ligands per antigen-presenting cell surface, provides inhibitory signals during T cell priming in lymph nodes"
NSCLC,A_cell,"Total surface area of cancer cell membrane, used to calculate checkpoint molecule densities (PD-L1, CD80, CD86) and normalize expression levels"
NSCLC,C_CD47,"CD47 surface density on cancer cells, provides 'don't eat me' signal to inhibit macrophage phagocytosis"
NSCLC,M_PD1_total,"Total PD-1 receptors per macrophage surface, mediates checkpoint inhibition of phagocytic function"
NSCLC,N_IL2_CD4,Maximum additional CD4+ T cell divisions enabled by IL-2 signaling beyond baseline
NSCLC,N_IL2_CD8,Maximum additional CD8+ T cell divisions enabled by IL-2 signaling beyond baseline
NSCLC,TGFbase,"Baseline TGF-β concentration in pancreatic tumor microenvironment, maintained by cancer cells and stromal components"
NSCLC,T_PD1_total,"Total number of PD-1 checkpoint receptors per T cell surface, determines maximum binding capacity for PD-L1/PD-L2 and anti-PD-1 antibodies"
NSCLC,T_PDL1_total,"Total number of PD-L1 molecules per activated T cell surface, enables reverse checkpoint signaling and T cell fratricide"
NSCLC,Ve_T,"Cellular volume fraction of tumor tissue, used as denominator in tumor volume calculation V_T = (cells*vol_cell)/Ve_T"
NSCLC,chemo_sens_PDL1_base,"Baseline number of PD-L1 checkpoint ligands per chemotherapy-sensitive cancer cell surface, enhanced by IFN-γ (r_PDL1_IFNg fold) for adaptive immune resistance"
NSCLC,gamma_T_aCTLA4,"Volume fraction of tumor interstitial space accessible to anti-CTLA-4 antibody, determines intratumoral drug penetration for T cell costimulatory blockade"
NSCLC,gamma_T_aPD1,"Volume fraction of tumor interstitial space accessible to anti-PD-1 antibody, determines intratumoral drug penetration for T cell checkpoint inhibition"
NSCLC,gamma_T_aPDL1,"Volume fraction of tumor interstitial space accessible to anti-PD-L1 antibody, determines intratumoral drug penetration for cancer cell checkpoint inhibition"
NSCLC,initial_tumour_diameter,"Initial tumor diameter used to calculate starting cancer cell number from volume, varied in PSA (1.43-3.03 cm)"
NSCLC,k_ArgI_sec,"Rate of arginase I secretion by MDSCs, depletes L-arginine and suppresses T cell proliferation and function"
NSCLC,k_CCL2_sec,"Rate of CCL2 (MCP-1) secretion by cancer cells and MDSCs, promotes MDSC recruitment to tumor microenvironment"
NSCLC,k_IFNg_Thsec,IFNg secretion rate by T helper cell estimated assuming IFNg secretion is 3 times lower in CD4 than CD8 T cells
NSCLC,k_M1_pol,"Rate of M2 to M1 macrophage polarization driven by IL-12 and IFN-γ, promotes anti-tumor phenotype"
NSCLC,k_P1_d1,"Dissociation constant for tumor antigen P1-MHC class I binding, determines stability and presentation strength of P1 epitopes to CD8+ T cells"
NSCLC,k_chemo_sens_growth,"Intrinsic growth rate of chemotherapy-sensitive cancer clone, used in Gompertzian/logistic growth models"
NSCLC,n_CD8_clones,"Number of CD8+ T cell clones recognizing tumor-specific antigens (P1), determines the fraction of CD8+ repertoire available for anti-tumor responses"
NSCLC,n_Treg_clones,"Number of regulatory T cell clones recognizing self-antigens (P0), determines the fraction of Treg repertoire that can be activated by tissue-specific antigens in lymph nodes"
NSCLC,q_CD8_T_in,"Rate of activated CD8+ T cell infiltration into tumor tissue, depends on tumor vasculature, chemokine gradients, and cancer cell density for recruitment"
NSCLC,q_Treg_T_in,"Rate of activated regulatory T cell infiltration into tumor tissue, depends on tumor vasculature density and adhesion molecule expression"
NSCLC,r_PDL2APC,"Ratio of PD-L2 to PD-L1 checkpoint ligands on antigen-presenting cells, determines relative contribution of PD-L2 pathway to T cell priming inhibition"
NSCLC,vol_cell,"Average cancer cell volume calculated from diameter, used in tumor volume equation V_T and initial conditions"
PDAC,APC_PDL1_base,"Baseline number of PD-L1 checkpoint ligands per antigen-presenting cell surface, provides inhibitory signals during T cell priming in lymph nodes"
PDAC,A_cell,"Total surface area of cancer cell membrane, used to calculate checkpoint molecule densities (PD-L1, CD80, CD86) and normalize expression levels"
PDAC,C_CD47,"CD47 surface density on cancer cells, provides 'don't eat me' signal to inhibit macrophage phagocytosis"
PDAC,M_PD1_total,"Total PD-1 receptors per macrophage surface, mediates checkpoint inhibition of phagocytic function"
PDAC,N_IL2_CD4,Maximum additional CD4+ T cell divisions enabled by IL-2 signaling beyond baseline
PDAC,N_IL2_CD8,Maximum additional CD8+ T cell divisions enabled by IL-2 signaling beyond baseline
PDAC,TGFbase,"Baseline TGF-β concentration in pancreatic tumor microenvironment, maintained by cancer cells and stromal components"
PDAC,T_PD1_total,"Total number of PD-1 checkpoint receptors per T cell surface, determines maximum binding capacity for PD-L1/PD-L2 and anti-PD-1 antibodies"
PDAC,T_PDL1_total,"Total number of PD-L1 molecules per activated T cell surface, enables reverse checkpoint signaling and T cell fratricide"
PDAC,Ve_T,"Cellular volume fraction of tumor tissue, used as denominator in tumor volume calculation V_T = (cells*vol_cell)/Ve_T"
PDAC,chemo_sens_PDL1_base,"Baseline number of PD-L1 checkpoint ligands per chemotherapy-sensitive cancer cell surface, enhanced by IFN-γ (r_PDL1_IFNg fold) for adaptive immune resistance"
PDAC,gamma_T_aCTLA4,"Volume fraction of tumor interstitial space accessible to anti-CTLA-4 antibody, determines intratumoral drug penetration for T cell costimulatory blockade"
PDAC,gamma_T_aPD1,"Volume fraction of tumor interstitial space accessible to anti-PD-1 antibody, determines intratumoral drug penetration for T cell checkpoint inhibition"
PDAC,gamma_T_aPDL1,"Volume fraction of tumor interstitial space accessible to anti-PD-L1 antibody, determines intratumoral drug penetration for cancer cell checkpoint inhibition"
PDAC,initial_tumour_diameter,"Initial tumor diameter used to calculate starting cancer cell number from volume, varied in PSA (1.43-3.03 cm)"
PDAC,k_ArgI_sec,"Rate of arginase I secretion by MDSCs, depletes L-arginine and suppresses T cell proliferation and function"
PDAC,k_CCL2_sec,"Rate of CCL2 (MCP-1) secretion by cancer cells and MDSCs, promotes MDSC recruitment to tumor microenvironment"
PDAC,k_IFNg_Thsec,IFNg secretion rate by T helper cell estimated assuming IFNg secretion is 3 times lower in CD4 than CD8 T cells
PDAC,k_M1_pol,"Rate of M2 to M1 macrophage polarization driven by IL-12 and IFN-γ, promotes anti-tumor phenotype"
PDAC,k_P1_d1,"Dissociation constant for tumor antigen P1-MHC class I binding, determines stability and presentation strength of P1 epitopes to CD8+ T cells"
PDAC,k_chemo_sens_growth,"Intrinsic growth rate of chemotherapy-sensitive cancer clone, used in Gompertzian/logistic growth models"
PDAC,n_CD8_clones,"Number of CD8+ T cell clones recognizing tumor-specific antigens (P1), determines the fraction of CD8+ repertoire available for anti-tumor responses"
PDAC,n_Treg_clones,"Number of regulatory T cell clones recognizing self-antigens (P0), determines the fraction of Treg repertoire that can be activated by tissue-specific antigens in lymph nodes"
PDAC,q_CD8_T_in,"Rate of activated CD8+ T cell infiltration into tumor tissue, depends on tumor vasculature, chemokine gradients, and cancer cell density for recruitment"
PDAC,q_Treg_T_in,"Rate of activated regulatory T cell infiltration into tumor tissue, depends on tumor vasculature density and adhesion molecule expression"
PDAC,r_PDL2APC,"Ratio of PD-L2 to PD-L1 checkpoint ligands on antigen-presenting cells, determines relative contribution of PD-L2 pathway to T cell priming inhibition"
PDAC,vol_cell,"Average cancer cell volume calculated from diameter, used in tumor volume equation V_T and initial conditions"
TNBC,APC_PDL1_base,"Baseline number of PD-L1 checkpoint ligands per antigen-presenting cell surface, provides inhibitory signals during T cell priming in lymph nodes"
TNBC,A_cell,"Total surface area of cancer cell membrane, used to calculate checkpoint molecule densities (PD-L1, CD80, CD86) and normalize expression levels"
TNBC,C_CD47,"CD47 surface density on cancer cells, provides 'don't eat me' signal to inhibit macrophage phagocytosis"
TNBC,M_PD1_total,"Total PD-1 receptors per macrophage surface, mediates checkpoint inhibition of phagocytic function"
TNBC,N_IL2_CD4,Maximum additional CD4+ T cell divisions enabled by IL-2 signaling beyond baseline
TNBC,N_IL2_CD8,Maximum additional CD8+ T cell divisions enabled by IL-2 signaling beyond baseline
TNBC,TGFbase,"Baseline TGF-β concentration in pancreatic tumor microenvironment, maintained by cancer cells and stromal components"
TNBC,T_PD1_total,"Total number of PD-1 checkpoint receptors per T cell surface, determines maximum binding capacity for PD-L1/PD-L2 and anti-PD-1 antibodies"
TNBC,T_PDL1_total,"Total number of PD-L1 molecules per activated T cell surface, enables reverse checkpoint signaling and T cell fratricide"
TNBC,Ve_T,"Cellular volume fraction of tumor tissue, used as denominator in tumor volume calculation V_T = (cells*vol_cell)/Ve_T"
TNBC,chemo_sens_PDL1_base,"Baseline number of PD-L1 checkpoint ligands per chemotherapy-sensitive cancer cell surface, enhanced by IFN-γ (r_PDL1_IFNg fold) for adaptive immune resistance"
TNBC,gamma_T_aCTLA4,"Volume fraction of tumor interstitial space accessible to anti-CTLA-4 antibody, determines intratumoral drug penetration for T cell costimulatory blockade"
TNBC,gamma_T_aPD1,"Volume fraction of tumor interstitial space accessible to anti-PD-1 antibody, determines intratumoral drug penetration for T cell checkpoint inhibition"
TNBC,gamma_T_aPDL1,"Volume fraction of tumor interstitial space accessible to anti-PD-L1 antibody, determines intratumoral drug penetration for cancer cell checkpoint inhibition"
TNBC,initial_tumour_diameter,"Initial tumor diameter used to calculate starting cancer cell number from volume, varied in PSA (1.43-3.03 cm)"
TNBC,k_ArgI_sec,"Rate of arginase I secretion by MDSCs, depletes L-arginine and suppresses T cell proliferation and function"
TNBC,k_CCL2_sec,"Rate of CCL2 (MCP-1) secretion by cancer cells and MDSCs, promotes MDSC recruitment to tumor microenvironment"
TNBC,k_IFNg_Thsec,IFNg secretion rate by T helper cell estimated assuming IFNg secretion is 3 times lower in CD4 than CD8 T cells
TNBC,k_M1_pol,"Rate of M2 to M1 macrophage polarization driven by IL-12 and IFN-γ, promotes anti-tumor phenotype"
TNBC,k_P1_d1,"Dissociation constant for tumor antigen P1-MHC class I binding, determines stability and presentation strength of P1 epitopes to CD8+ T cells"
TNBC,k_chemo_sens_growth,"Intrinsic growth rate of chemotherapy-sensitive cancer clone, used in Gompertzian/logistic growth models"
TNBC,n_CD8_clones,"Number of CD8+ T cell clones recognizing tumor-specific antigens (P1), determines the fraction of CD8+ repertoire available for anti-tumor responses"
TNBC,n_Treg_clones,"Number of regulatory T cell clones recognizing self-antigens (P0), determines the fraction of Treg repertoire that can be activated by tissue-specific antigens in lymph nodes"
TNBC,q_CD8_T_in,"Rate of activated CD8+ T cell infiltration into tumor tissue, depends on tumor vasculature, chemokine gradients, and cancer cell density for recruitment"
TNBC,q_P_aCTLA4,"Capillary filtration rate of anti-CTLA-4 antibody from central to peripheral compartment, determines systemic drug distribution for checkpoint blockade"
TNBC,q_P_aPD1,"Capillary filtration rate of anti-PD-1 antibody from central to peripheral compartment, determines systemic drug distribution for checkpoint blockade"
TNBC,q_P_aPDL1,"Capillary filtration rate of anti-PD-L1 antibody from central to peripheral compartment, determines systemic drug distribution for checkpoint blockade"
TNBC,q_T_aCTLA4,"Capillary filtration rate of anti-CTLA-4 antibody from central to tumor compartment, determines tumor penetration for T cell costimulatory blockade"
TNBC,q_T_aPD1,"Capillary filtration rate of anti-PD-1 antibody from central to tumor compartment, determines tumor penetration for T cell checkpoint inhibition"
TNBC,q_T_aPDL1,"Capillary filtration rate of anti-PD-L1 antibody from central to tumor compartment, determines tumor penetration for cancer cell checkpoint inhibition"
TNBC,q_Treg_T_in,"Rate of activated regulatory T cell infiltration into tumor tissue, depends on tumor vasculature density and adhesion molecule expression"
TNBC,r_PDL2APC,"Ratio of PD-L2 to PD-L1 checkpoint ligands on antigen-presenting cells, determines relative contribution of PD-L2 pathway to T cell priming inhibition"
TNBC,vol_cell,"Average cancer cell volume calculated from diameter, used in tumor volume equation V_T and initial conditions"
UM,APC_PDL1_base,"Baseline number of PD-L1 checkpoint ligands per antigen-presenting cell surface, provides inhibitory signals during T cell priming in lymph nodes"
UM,A_cell,"Total surface area of cancer cell membrane, used to calculate checkpoint molecule densities (PD-L1, CD80, CD86) and normalize expression levels"
UM,C_CD47,"CD47 surface density on cancer cells, provides 'don't eat me' signal to inhibit macrophage phagocytosis"
UM,M_PD1_total,"Total PD-1 receptors per macrophage surface, mediates checkpoint inhibition of phagocytic function"
UM,N_IL2_CD4,Maximum additional CD4+ T cell divisions enabled by IL-2 signaling beyond baseline
UM,N_IL2_CD8,Maximum additional CD8+ T cell divisions enabled by IL-2 signaling beyond baseline
UM,TGFbase,"Baseline TGF-β concentration in pancreatic tumor microenvironment, maintained by cancer cells and stromal components"
UM,T_PD1_total,"Total number of PD-1 checkpoint receptors per T cell surface, determines maximum binding capacity for PD-L1/PD-L2 and anti-PD-1 antibodies"
UM,T_PDL1_total,"Total number of PD-L1 molecules per activated T cell surface, enables reverse checkpoint signaling and T cell fratricide"
UM,Ve_T,"Cellular volume fraction of tumor tissue, used as denominator in tumor volume calculation V_T = (cells*vol_cell)/Ve_T"
UM,chemo_sens_PDL1_base,"Baseline number of PD-L1 checkpoint ligands per chemotherapy-sensitive cancer cell surface, enhanced by IFN-γ (r_PDL1_IFNg fold) for adaptive immune resistance"
UM,initial_tumour_diameter,"Initial tumor diameter used to calculate starting cancer cell number from volume, varied in PSA (1.43-3.03 cm)"
UM,k_ArgI_sec,"Rate of arginase I secretion by MDSCs, depletes L-arginine and suppresses T cell proliferation and function"
UM,k_CCL2_sec,"Rate of CCL2 (MCP-1) secretion by cancer cells and MDSCs, promotes MDSC recruitment to tumor microenvironment"
UM,k_IFNg_Thsec,IFNg secretion rate by T helper cell estimated assuming IFNg secretion is 3 times lower in CD4 than CD8 T cells
UM,k_M1_pol,"Rate of M2 to M1 macrophage polarization driven by IL-12 and IFN-γ, promotes anti-tumor phenotype"
UM,k_P1_d1,"Dissociation constant for tumor antigen P1-MHC class I binding, determines stability and presentation strength of P1 epitopes to CD8+ T cells"
UM,k_chemo_sens_growth,"Intrinsic growth rate of chemotherapy-sensitive cancer clone, used in Gompertzian/logistic growth models"
UM,n_CD8_clones,"Number of CD8+ T cell clones recognizing tumor-specific antigens (P1), determines the fraction of CD8+ repertoire available for anti-tumor responses"
UM,n_Treg_clones,"Number of regulatory T cell clones recognizing self-antigens (P0), determines the fraction of Treg repertoire that can be activated by tissue-specific antigens in lymph nodes"
UM,q_CD8_T_in,"Rate of activated CD8+ T cell infiltration into tumor tissue, depends on tumor vasculature, chemokine gradients, and cancer cell density for recruitment"
UM,q_Treg_T_in,"Rate of activated regulatory T cell infiltration into tumor tissue, depends on tumor vasculature density and adhesion molecule expression"
UM,r_PDL2APC,"Ratio of PD-L2 to PD-L1 checkpoint ligands on antigen-presenting cells, determines relative contribution of PD-L2 pathway to T cell priming inhibition"
UM,vol_cell,"Average cancer cell volume calculated from diameter, used in tumor volume equation V_T and initial conditions"
base,APC0_LN,"Steady-state density of CD103+ dendritic cells in tumor-draining lymph nodes, provides baseline antigen presentation capacity for T cell priming"
base,APC0_T,"Steady-state density of CD103+ dendritic cells in tumor tissue, represents baseline antigen-presenting capacity for tumor antigen uptake and cross-presentation"
base,APC_CD80_total,"Total number of CD80 costimulatory ligands per antigen-presenting cell surface, provides costimulatory signals for T cell activation and priming"
base,APC_CD86_total,"Total number of CD86 costimulatory ligands per antigen-presenting cell surface, primary costimulatory ligand for T cell activation with higher expression than CD80"
base,A_APC,"Total surface area of antigen-presenting cell membrane, used to calculate MHC and costimulatory molecule densities for T cell activation"
base,A_Mcell,"Surface area of a single macrophage calculated from average diameter, used for receptor density calculations"
base,A_Tcell,"Total surface area of T cell membrane, used to calculate receptor densities and normalize checkpoint molecule expression levels"
base,A_syn,"Surface area of immunological synapse between T cell and APC/cancer cell, determines contact area for receptor-ligand interactions and signaling"
base,ArgI_50_Teff,Half-maximal arginase I concentration for T effector cell inhibition and death through L-arginine depletion
base,ArgI_50_Treg,Half-maximal arginase I concentration for Treg expansion and Th-to-Treg transdifferentiation
base,CCL2_50,"Half-maximal CCL2 concentration for MDSC recruitment into tumor, determines sensitivity to chemoattractant gradients"
base,CD28_CD8X_50,"Half-maximal CD28-CD80/CD86 complex density in immunological synapse for T cell costimulation, accounts for CTLA-4 baseline inhibition effects"
base,C_max,"Tumor carrying capacity for logistic growth, dynamically updated to vasculature capacity V_T.K in model"
base,C_total,"Total cancer cell count across all phenotypes (C1+C2), calculated variable used in growth dynamics and T cell interactions"
base,Chi_CTLA4_aCTLA4,"Bivalent anti-CTLA-4 antibody cross-arm binding efficiency parameter, accounts for avidity effects and 3D-to-2D binding conversion in immunological synapse"
base,Chi_PD1_aPD1,"Bivalent anti-PD-1 antibody cross-arm binding efficiency parameter, accounts for avidity effects and 3D-to-2D binding conversion in immunological synapse"
base,Chi_PDL1_aPDL1,"Bivalent anti-PD-L1 antibody cross-arm binding efficiency parameter, accounts for avidity effects and 3D-to-2D binding conversion in immunological synapse"
base,ECM_MW,"Molecular weight of collagen (major ECM component), used for mass-to-volume conversion in tumor calculations"
base,ECM_level,"Current ECM concentration in tumor, dynamically updated based on fibroblast/CAF secretion and degradation"
base,F_cabozantinib,Oral bioavailability fraction of cabozantinib reaching systemic circulation after first-pass metabolism
base,H_APC,"Hill function for APC-mediated Treg activation by self-antigens (P0), calculated from mature APC levels and P0 presentation in lymph nodes using TCR-MHC binding dynamics"
base,H_APCh,"Hill function for mature APC-mediated CD4+ helper T cell activation by tumor neoantigens, calculated from mature APC levels and neoantigen presentation in lymph nodes"
base,H_ArgI_Teff,Hill function for arginase I-mediated inhibition of T effector cells through L-arginine depletion
base,H_ArgI_Treg,Hill function for arginase I-mediated T helper to regulatory T cell transdifferentiation
base,H_CD28_APC,"Hill function for CD28 costimulatory signaling from APCs, calculated from CD28-CD80/CD86 binding dynamics"
base,H_CD28_chemo_sens,"Hill function for CD28 costimulatory signaling from chemotherapy-sensitive cancer cells, calculated from CD28-CD80/CD86 binding"
base,H_ECM_T_exh,"Hill function for ECM-mediated CD8+ T cell exhaustion, calculated as ECM_level/(ECM_50_T_exh+ECM_level), represents biochemical exhaustion signals from fibrotic environment"
base,H_ECM_T_mot,"Hill function for ECM-mediated reduction in CD8+ T cell motility and cancer killing efficiency, calculated as ECM_level/(ECM_50_T_mot+ECM_level), represents physical barrier effects"
base,H_IL10,"Hill function for IL-10-mediated M2 macrophage polarization, Treg functionality, and antigen presentation inhibition"
base,H_IL10_phago,Hill function for IL-10-mediated inhibition of macrophage phagocytic activity
base,H_IL12,Hill function for IL-12-mediated M2-to-M1 macrophage polarization
base,H_MDSC,Hill function for combined MDSC-mediated immunosuppressive effects on T effector cells
base,H_Mac_C,Hill function for combined checkpoint inhibition effects on macrophage-mediated cancer cell phagocytosis
base,H_NO,Hill function for nitric oxide-mediated inhibition of T effector cells
base,H_P0,"Hill function for self-antigen P0 presentation by APCs to regulatory T cells, calculated from TCR-MHC class II-peptide complex formation and determines Treg activation strength"
base,H_P1,"Hill function for tumor-specific antigen P1 presentation by APCs to CD8+ T cells, calculated from TCR-MHC class I-peptide complex formation, determines CD8+ T cell activation strength"
base,H_PD1_APC,"Hill function for PD-1/PD-L1 checkpoint inhibition of T cells by APCs, calculated from receptor-ligand binding dynamics"
base,H_PD1_M,Hill function for PD-1-mediated inhibition of macrophage phagocytosis through checkpoint signaling
base,H_PD1_chemo_sens,"Hill function for PD-1/PD-L1 checkpoint inhibition of T cells by chemotherapy-sensitive cancer cells, calculated from receptor-ligand binding dynamics"
base,H_SIRPa,Hill function for SIRPα-mediated inhibition of macrophage phagocytosis through CD47 'don't eat me' signaling
base,H_TGFb,"Hill function for TGF-β-mediated effects on Th-to-Treg differentiation, chemoresistance development, and M1-to-M2 polarization"
base,H_TGFb_Teff,Hill function for TGF-β-mediated CD8+ T effector cell inhibition and chemoresistance development
base,H_mAPC,"Hill function for mature APC-mediated CD8+ T cell activation by tumor antigens (P1), calculated from mature APC levels and P1 presentation in lymph nodes using TCR-MHC binding dynamics"
base,H_therapy_cabo,Hill function for cabozantinib therapeutic effects on tumor vasculature and angiogenesis
